"lang"
{
"Language"	"vietnamese"
"announcer_ann_custom_first_blood_24"	"Rắn đã lấy được chiến công đầu."
"[english]announcer_ann_custom_first_blood_24"	"Snake has drawn first blood."
"announcer_ann_custom_first_blood_25"	"Hổ đã lấy được chiến công đầu."
"[english]announcer_ann_custom_first_blood_25"	"Tiger has drawn first blood."
"announcer_ann_custom_tower_fall_01"	"Trụ của mòng két đã thất thủ."
"[english]announcer_ann_custom_tower_fall_01"	"Teal's tower has fallen."
"announcer_ann_custom_tower_fall_02"	"Trụ của vàng đã thất thủ."
"[english]announcer_ann_custom_tower_fall_02"	"Yellow's tower has fallen."
"announcer_ann_custom_tower_fall_03"	"Trụ của hồng đã thất thủ."
"[english]announcer_ann_custom_tower_fall_03"	"Pink's tower has fallen."
"announcer_ann_custom_tower_fall_04"	"Trụ của cam đã thất thủ."
"[english]announcer_ann_custom_tower_fall_04"	"Orange's tower has fallen."
"announcer_ann_custom_tower_fall_05"	"Trụ của tím đã thất thủ."
"[english]announcer_ann_custom_tower_fall_05"	"Purple's tower has fallen."
"announcer_ann_custom_tower_fall_06"	"Trụ của xanh biển đã thất thủ."
"[english]announcer_ann_custom_tower_fall_06"	"Blue's tower has fallen."
"announcer_ann_custom_tower_fall_07"	"Trụ của ô liu đã thất thủ."
"[english]announcer_ann_custom_tower_fall_07"	"Olive's tower has fallen."
"announcer_ann_custom_tower_fall_08"	"Trụ của nâu đã thất thủ."
"[english]announcer_ann_custom_tower_fall_08"	"Brown's tower has fallen."
"announcer_ann_custom_tower_fall_09"	"Trụ của xanh lơ đã thất thủ."
"[english]announcer_ann_custom_tower_fall_09"	"Cyan's tower has fallen."
"announcer_ann_custom_tower_fall_10"	"Trụ của xanh lá đã thất thủ."
"[english]announcer_ann_custom_tower_fall_10"	"Green's tower has fallen."
"announcer_ann_custom_tower_fall_11"	"Trụ của xám đã thất thủ."
"[english]announcer_ann_custom_tower_fall_11"	"Grey's tower has fallen."
"announcer_ann_custom_tower_fall_12"	"Trụ của bạc đã thất thủ."
"[english]announcer_ann_custom_tower_fall_12"	"Silver's tower has fallen."
"announcer_ann_custom_tower_fall_13"	"Trụ của đỏ đã thất thủ."
"[english]announcer_ann_custom_tower_fall_13"	"Red's tower has fallen."
"announcer_ann_custom_tower_fall_14"	"Trụ của lợn đã thất thủ."
"[english]announcer_ann_custom_tower_fall_14"	"Boar's tower has fallen."
"announcer_ann_custom_tower_fall_15"	"Trụ của chó đã thất thủ."
"[english]announcer_ann_custom_tower_fall_15"	"Dog's tower has fallen."
"announcer_ann_custom_tower_fall_16"	"Trụ của rồng đã thất thủ."
"[english]announcer_ann_custom_tower_fall_16"	"Dragon's tower has fallen."
"announcer_ann_custom_tower_fall_17"	"Trụ của ngựa đã thất thủ."
"[english]announcer_ann_custom_tower_fall_17"	"Horse's tower has fallen."
"announcer_ann_custom_tower_fall_18"	"Trụ của khỉ đã thất thủ."
"[english]announcer_ann_custom_tower_fall_18"	"Monkey's tower has fallen."
"announcer_ann_custom_tower_fall_19"	"Trụ của bò đã thất thủ."
"[english]announcer_ann_custom_tower_fall_19"	"Ox's tower has fallen."
"announcer_ann_custom_tower_fall_20"	"Trụ của thỏ đã thất thủ."
"[english]announcer_ann_custom_tower_fall_20"	"Rabbit's tower has fallen."
"announcer_ann_custom_tower_fall_21"	"Trụ của dê đã thất thủ."
"[english]announcer_ann_custom_tower_fall_21"	"Ram's tower has fallen."
"announcer_ann_custom_tower_fall_22"	"Trụ của chuột đã thất thủ."
"[english]announcer_ann_custom_tower_fall_22"	"Rat's tower has fallen."
"announcer_ann_custom_tower_fall_23"	"Trụ của gà đã thất thủ."
"[english]announcer_ann_custom_tower_fall_23"	"Rooster's tower has fallen."
"announcer_ann_custom_tower_fall_24"	"Trụ của rắn đã thất thủ."
"[english]announcer_ann_custom_tower_fall_24"	"Snake's tower has fallen."
"announcer_ann_custom_tower_fall_25"	"Trụ của hổ đã thất thủ."
"[english]announcer_ann_custom_tower_fall_25"	"Tiger's tower has fallen."
"announcer_ann_custom_tower_deny_01"	"Trụ của mòng két đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_01"	"Teal's tower has been denied."
"announcer_ann_custom_tower_deny_02"	"Trụ của vàng đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_02"	"Yellow's tower has been denied."
"announcer_ann_custom_tower_deny_03"	"Trụ của hồng đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_03"	"Pink's tower has been denied."
"announcer_ann_custom_tower_deny_04"	"Trụ của cam đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_04"	"Orange's tower has been denied."
"announcer_ann_custom_tower_deny_05"	"Trụ của tím đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_05"	"Purple's tower has been denied."
"announcer_ann_custom_tower_deny_06"	"Trụ của xanh biển đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_06"	"Blue's tower has been denied."
"announcer_ann_custom_tower_deny_07"	"Trụ của ô liu đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_07"	"Olive's tower has been denied."
"announcer_ann_custom_tower_deny_08"	"Trụ của nâu đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_08"	"Brown's tower has been denied."
"announcer_ann_custom_tower_deny_09"	"Trụ của xanh lơ đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_09"	"Cyan's tower has been denied."
"announcer_ann_custom_tower_deny_10"	"Trụ của xanh lá đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_10"	"Green's tower has been denied."
"announcer_ann_custom_tower_deny_11"	"Trụ của xám đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_11"	"Grey's tower has been denied."
"announcer_ann_custom_tower_deny_12"	"Trụ của bạc đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_12"	"Silver's tower has been denied."
"announcer_ann_custom_tower_deny_13"	"Trụ của đỏ đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_13"	"Red's tower has been denied."
"announcer_ann_custom_tower_deny_14"	"Trụ của lợn đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_14"	"Boar's tower has been denied."
"announcer_ann_custom_tower_deny_15"	"Trụ của chó đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_15"	"Dog's tower has been denied."
"announcer_ann_custom_tower_deny_16"	"Trụ của rồng đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_16"	"Dragon's tower has been denied."
"announcer_ann_custom_tower_deny_17"	"Trụ của ngựa đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_17"	"Horse's tower has been denied."
"announcer_ann_custom_tower_deny_18"	"Trụ của khỉ đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_18"	"Monkey's tower has been denied."
"announcer_ann_custom_tower_deny_19"	"Trụ của bò đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_19"	"Ox's tower has been denied."
"announcer_ann_custom_tower_deny_20"	"Trụ của thỏ đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_20"	"Rabbit's tower has been denied."
"announcer_ann_custom_tower_deny_21"	"Trụ của dê đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_21"	"Ram's tower has been denied."
"announcer_ann_custom_tower_deny_22"	"Trụ của chuột đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_22"	"Rat's tower has been denied."
"announcer_ann_custom_tower_deny_23"	"Trụ của gà đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_23"	"Rooster's tower has been denied."
"announcer_ann_custom_tower_deny_24"	"Trụ của rắn đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_24"	"Snake's tower has been denied."
"announcer_ann_custom_tower_deny_25"	"Trụ của hổ đã bị chối bỏ."
"[english]announcer_ann_custom_tower_deny_25"	"Tiger's tower has been denied."
"announcer_ann_custom_barracks_fall_01"	"Nhà lính của mòng két đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_01"	"Teal's barracks has fallen."
"announcer_ann_custom_barracks_fall_02"	"Nhà lính của vàng đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_02"	"Yellow's barracks has fallen."
"announcer_ann_custom_barracks_fall_03"	"Nhà lính của hồng đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_03"	"Pink's barracks has fallen."
"announcer_ann_custom_barracks_fall_04"	"Nhà lính của cam đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_04"	"Orange's barracks has fallen."
"announcer_ann_custom_barracks_fall_05"	"Nhà lính của tím đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_05"	"Purple's barracks has fallen."
"announcer_ann_custom_barracks_fall_06"	"Nhà lính của xanh biển đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_06"	"Blue's barracks has fallen."
"announcer_ann_custom_barracks_fall_07"	"Nhà lính của ô liu đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_07"	"Olive's barracks has fallen."
"announcer_ann_custom_barracks_fall_08"	"Nhà lính của nâu đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_08"	"Brown's barracks has fallen."
"announcer_ann_custom_barracks_fall_09"	"Nhà lính của xanh lơ đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_09"	"Cyan's barracks has fallen."
"announcer_ann_custom_barracks_fall_10"	"Nhà lính của xanh lá đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_10"	"Green's barracks has fallen."
"announcer_ann_custom_barracks_fall_11"	"Nhà lính của xám đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_11"	"Grey's barracks has fallen."
"announcer_ann_custom_barracks_fall_12"	"Nhà lính của bạc đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_12"	"Silver's barracks has fallen."
"announcer_ann_custom_barracks_fall_13"	"Nhà lính của đỏ đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_13"	"Red's barracks has fallen."
"announcer_ann_custom_barracks_fall_14"	"Nhà lính của lợn đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_14"	"Boar's barracks has fallen."
"announcer_ann_custom_barracks_fall_15"	"Nhà lính của chó đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_15"	"Dog's barracks has fallen."
"announcer_ann_custom_barracks_fall_16"	"Nhà lính của rồng đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_16"	"Dragon's barracks has fallen."
"announcer_ann_custom_barracks_fall_17"	"Nhà lính của ngựa đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_17"	"Horse's barracks has fallen."
"announcer_ann_custom_barracks_fall_18"	"Nhà lính của khỉ đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_18"	"Monkey's barracks has fallen."
"announcer_ann_custom_barracks_fall_19"	"Nhà lính của bò đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_19"	"Ox's barracks has fallen."
"announcer_ann_custom_barracks_fall_20"	"Nhà lính của thỏ đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_20"	"Rabbit's barracks has fallen."
"announcer_ann_custom_barracks_fall_21"	"Nhà lính của dê đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_21"	"Ram's barracks has fallen."
"announcer_ann_custom_barracks_fall_22"	"Nhà lính của chuột đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_22"	"Rat's barracks has fallen."
"announcer_ann_custom_barracks_fall_23"	"Nhà lính của gà đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_23"	"Rooster's barracks has fallen."
"announcer_ann_custom_barracks_fall_24"	"Nhà lính của rắn đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_24"	"Snake's barracks has fallen."
"announcer_ann_custom_barracks_fall_25"	"Nhà lính của hổ đã thất thủ."
"[english]announcer_ann_custom_barracks_fall_25"	"Tiger's barracks has fallen."
"announcer_ann_custom_mega_creeps_01"	"Mòng két hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_01"	"Teal now has megacreeps."
"announcer_ann_custom_mega_creeps_02"	"Vàng hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_02"	"Yellow now has megacreeps."
"announcer_ann_custom_mega_creeps_03"	"Hồng hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_03"	"Pink now has megacreeps."
"announcer_ann_custom_mega_creeps_04"	"Cam hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_04"	"Orange now has megacreeps."
"announcer_ann_custom_mega_creeps_05"	"Tím hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_05"	"Purple now has megacreeps."
"announcer_ann_custom_mega_creeps_06"	"Xanh biển đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_06"	"Blue now has megacreeps."
"announcer_ann_custom_mega_creeps_07"	"Ô-liu hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_07"	"Olive now has megacreeps."
"announcer_ann_custom_mega_creeps_08"	"Nâu hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_08"	"Brown now has megacreeps."
"announcer_ann_custom_mega_creeps_09"	"Xanh lơ hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_09"	"Cyan now has megacreeps."
"announcer_ann_custom_mega_creeps_10"	"Lục hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_10"	"Green now has megacreeps."
"announcer_ann_custom_mega_creeps_11"	"Xám hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_11"	"Grey now has megacreeps."
"announcer_ann_custom_mega_creeps_12"	"Bạc hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_12"	"Silver now has megacreeps."
"announcer_ann_custom_mega_creeps_13"	"Đỏ hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_13"	"Red now has megacreeps."
"announcer_ann_custom_mega_creeps_14"	"Lợn hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_14"	"Boar now has megacreeps."
"announcer_ann_custom_mega_creeps_15"	"Chó hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_15"	"Dog now has megacreeps."
"announcer_ann_custom_mega_creeps_16"	"Rồng hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_16"	"Dragon now has megacreeps."
"announcer_ann_custom_mega_creeps_17"	"Ngựa hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_17"	"Horse now has megacreeps."
"announcer_ann_custom_mega_creeps_18"	"Khỉ hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_18"	"Monkey now has megacreeps."
"announcer_ann_custom_mega_creeps_19"	"Bò hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_19"	"Ox now has megacreeps."
"announcer_ann_custom_mega_creeps_20"	"Thỏ hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_20"	"Rabbit now has megacreeps."
"announcer_ann_custom_mega_creeps_21"	"Dê hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_21"	"Ram now has megacreeps."
"announcer_ann_custom_mega_creeps_22"	"Chuột hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_22"	"Rat now has megacreeps."
"announcer_ann_custom_mega_creeps_23"	"Gà hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_23"	"Rooster now has megacreeps."
"announcer_ann_custom_mega_creeps_24"	"Rắn hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_24"	"Snake now has megacreeps."
"announcer_ann_custom_mega_creeps_25"	"Hổ hiện đã có quái siêu cấp."
"[english]announcer_ann_custom_mega_creeps_25"	"Tiger now has megacreeps."
"announcer_ann_custom_roshan_fall_01"	"Roshan đã bị tiêu diệt bởi mòng két."
"[english]announcer_ann_custom_roshan_fall_01"	"Roshan has fallen to Teal."
"announcer_ann_custom_roshan_fall_02"	"Roshan đã bị tiêu diệt bởi vàng."
"[english]announcer_ann_custom_roshan_fall_02"	"Roshan has fallen to Yellow."
"announcer_ann_custom_roshan_fall_03"	"Roshan đã bị tiêu diệt bởi hồng."
